shop_name,shop_details
Mama's of Corona,http://www.zagat.com/r/mamas-of-corona-new-york
Num Pang Sandwich Shop,http://www.zagat.com/r/num-pang-sandwich-shop-new-york2
Alidoro,http://www.zagat.com/r/alidoro-new-york
David's Brisket House,http://www.zagat.com/r/davids-brisket-house-new-york
David's Brisket House & Deli,http://www.zagat.com/r/davids-brisket-house-deli-brooklyn
William Poll,http://www.zagat.com/r/william-poll-new-york
Porchetta,http://www.zagat.com/r/porchetta-new-york
Defonte's Sandwich Shop,http://www.zagat.com/r/defontes-sandwich-shop-new-york
Olive's,http://www.zagat.com/r/olives-new-york1
Olive's,http://www.zagat.com/r/olives-new-york
Press 195,http://www.zagat.com/r/press-195-new-york1
The Meatball Shop,http://www.zagat.com/r/the-meatball-shop-new-york
The Meatball Shop,http://www.zagat.com/r/the-meatball-shop-new-york4
No. 7 Sub,http://www.zagat.com/r/no-7-sub-new-york
Mile End Delicatessen,http://www.zagat.com/r/mile-end-delicatessen-new-york
Forty Carrots Restaurant,http://www.zagat.com/r/forty-carrots-restaurant-new-york
This Little Piggy,http://www.zagat.com/r/this-little-piggy-had-roast-beef-new-york
Shorty's,http://www.zagat.com/r/shortys-new-york
Carnegie Deli,http://www.zagat.com/r/carnegie-deli-new-york
Zito's Sandwich Shoppe,http://www.zagat.com/r/zitos-sandwich-shoppe-new-york
No. 7 Sub,http://www.zagat.com/r/no-7-sub-new-york1
No. 7 Sub,http://www.zagat.com/r/no-7-sub-brooklyn
JoeDough Sandwich Shop,http://www.zagat.com/r/joedough-sandwich-shop-new-york
Melt Shop,http://www.zagat.com/r/melt-shop-new-york4
Melt Shop,http://www.zagat.com/r/melt-shop-new-york1
Peanut Butter & Co.,http://www.zagat.com/r/peanut-butter-co-new-york
Melt Shop,http://www.zagat.com/r/melt-shop-new-york
Sarge's Deli,http://www.zagat.com/r/sarges-deli-new-york
Zito's Sandwich Shoppe,http://www.zagat.com/r/zitos-sandwich-shoppe-new-york1
Yura On Madison,http://www.zagat.com/r/yura-on-madison-new-york
Stage Door,http://www.zagat.com/r/stage-door-new-york
Eisenberg's Sandwich Shop,http://www.zagat.com/r/eisenbergs-sandwich-shop-new-york
'wichcraft - tribeca,http://www.zagat.com/r/wichcraft-new-york2
'wichcraft - the village,http://www.zagat.com/r/wichcraft-new-york7
'wichcraft - west chelsea,http://www.zagat.com/r/wichcraft-new-york3
'wichcraft - southwest porch @ bryant park,http://www.zagat.com/r/wichcraft-new-york10
'wichcraft - lincoln center,http://www.zagat.com/r/wichcraft-new-york4
'wichcraft - midtown,http://www.zagat.com/r/wichcraft-new-york
Tartinery,http://www.zagat.com/r/tartinery-new-york2
100 Montaditos,http://www.zagat.com/r/100-montaditos-new-york
Num Pang Sandwich Shop,http://www.zagat.com/r/num-pang-new-york1
Zito's Sandwich Shoppe,http://www.zagat.com/r/zitos-sandwich-shoppe-new-york2
Rocket Pig,http://www.zagat.com/r/rocket-pig-new-york
Chubby Mary's,http://www.zagat.com/r/chubby-marys-new-york
Hi-Collar,http://www.zagat.com/r/hi-collar-new-york
Melt Shop,http://www.zagat.com/r/melt-shop-new-york2
Tartinery,http://www.zagat.com/r/tartinery-new-york1
Mayhem & Stout,http://www.zagat.com/r/mayhem-stout-new-york
Schnitz,http://www.zagat.com/r/schnitz-new-york
Red Star Sandwich Shop,http://www.zagat.com/r/red-star
Court Street Grocers Hero Shop,http://www.zagat.com/r/court-street-grocers-hero-shop-new-york
Animals Food and Drink,http://www.zagat.com/r/animals-new-york
The Wheelhouse,http://www.zagat.com/r/the-wheelhouse
Meat Hook Sandwich Shop,http://www.zagat.com/r/meat-hook-sandwich-shop-new-york
Egg Shop,http://www.zagat.com/r/egg-shop-new-york
Little Muenster,http://www.zagat.com/r/little-muenster-new-york
Little Muenster,http://www.zagat.com/r/little-muenster-new-york1
Untamed Sandwiches,http://www.zagat.com/r/untamed-sandwiches-new-york
La Panineria,http://www.zagat.com/r/la-panineria-new-york
BeeHive Oven,http://www.zagat.com/r/beehive-oven-new-york
